"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 17 20:32:14 CST 2021","Tue Aug 17 20:32:14 CST 2021","0","","test_allure02","","","","test_case4",""
"skipped","Tue Aug 17 20:32:14 CST 2021","Tue Aug 17 20:32:14 CST 2021","0","","test_allure02","","","","test_case2",""
"passed","Tue Aug 17 20:32:14 CST 2021","Tue Aug 17 20:32:14 CST 2021","0","","test_allure02","","","","test_case1",""
"passed","Tue Aug 17 20:32:14 CST 2021","Tue Aug 17 20:32:14 CST 2021","1","","test_allure02","","","","test_case3",""
